ProductKey,ProductName,SubCategory,Category,Color,ListPrice,DaysToManufacture,ProductLine,ModelName,Photo,ProductDescription,StartDate
1,Adjustable Race,Unknown,Unknown,Silver,364.09,0,Unknown,Unknown,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/1.jpg,,1998-06-01
2,Bearing Ball,Unknown,Unknown,Silver,364.09,0,Unknown,Unknown,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/2.jpg,,1998-06-01
3,BB Ball Bearing,Unknown,Unknown,Silver,364.09,1,Unknown,Unknown,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/3.jpg,,1998-06-01
4,Headset Ball Bearings,Unknown,Unknown,Silver,364.09,0,Unknown,Unknown,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/4.jpg,,1998-06-01
5,Blade,Unknown,Unknown,Silver,364.09,1,Unknown,Unknown,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/5.jpg,,1998-06-01
6,LL Crankarm,Unknown,Unknown,Black,364.09,0,Unknown,Unknown,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/6.jpg,,1998-06-01
7,ML Crankarm,Unknown,Unknown,Black,364.09,0,Unknown,Unknown,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/7.jpg,,1998-06-01
8,HL Crankarm,Unknown,Unknown,Black,364.09,0,Unknown,Unknown,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/8.jpg,,1998-06-01
9,Chainring Bolts,Unknown,Unknown,Silver,364.09,0,Unknown,Unknown,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/9.jpg,,1998-06-01
10,Chainring Nut,Unknown,Unknown,Silver,364.09,0,Unknown,Unknown,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/10.jpg,,1998-06-01
11,Chainring,Unknown,Unknown,Black,364.09,0,Unknown,Unknown,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/11.jpg,,1998-06-01
12,Crown Race,Unknown,Unknown,Black,364.09,0,Unknown,Unknown,http://www.avising.com/me/LearnPBI/DataSources/ProductImages/12.jpg,,1998-06-01
